store_name,tag,location,website,num_reviews,average_reviews,features,region,phone_number,price_range
Champs Sports,"Source for athletic footwear & apparel, Chain featuring a wide range of brand-name athletic footwear, clothing, hats & more.","30 Mall Dr W, Jersey City, NJ 07310, United States",stores.champssports.com,68 reviews,4.2,"Shoe store, Clothing store, Sportswear store",The Waterfront,+1 201-792-7345,Moderately expensive
Surefoot,"Provider of custom-fit ski boots, Retailer specializing in high-end, comfort-focused ski boots with custom liners & insoles.","1438 3rd Ave FRNT 1, New York, NY 10028, United States",surefoot.com,69 reviews,4.3,Ski shop,Manhattan,+1 212-472-7171,
Champs Sports,"Source for athletic footwear & apparel, Chain featuring a wide range of brand-name athletic footwear, clothing, hats & more.","2655 Richmond Ave, Staten Island, NY 10314, United States",stores.champssports.com,46 reviews,3.8,"Shoe store, Clothing store, Sportswear store",Mid Island,+1 718-698-1560,Moderately expensive
Foot Locker,"Brand-name athletic shoes & apparel, Retail chain with brand-name athletic shoes, clothing & related accessories for men, women & kids.","716 Broadway, New York, NY 10003, United States",stores.footlocker.com,157 reviews,4.1,"Shoe store, Clothing store, Sportswear store",Manhattan,+1 212-995-0381,Moderately expensive
Upper 90 Soccer Brooklyn,"Modern shop for soccer gear & classes, Bright, spacious sports store carrying soccer gear & accessories & offering classes for kids.","359 Atlantic Ave, Brooklyn, NY 11217, United States",u90soccer.com,181 reviews,4.4,"Soccer store, Soccer field, Sporting goods store",Boerum Hill,+1 646-389-0943,
lululemon,"Upscale yoga & running apparel, High-end yoga-focused chain featuring stylish athletic wear & accessories.","1529 3rd Ave, New York, NY 10028, United States",shop.lululemon.com,46 reviews,3.9,"Sportswear store, Children's clothing store, Men's clothing store, Women's clothing store",Manhattan,+1 212-452-1909,Expensive
Metro Sports,,"1571 Flatbush Ave, Brooklyn, NY 11210, United States",metrosportsnyc.com,32 reviews,3.3,Shoe store,East Flatbush,+1 718-434-7797,
New Balance Flatiron,"Athletic footwear, apparel & accessories, Chain retailer stocking house-brand athletic footwear, apparel & accessories for all ages.","150 5th Ave, New York, NY 10010, United States",newbalance.com,610 reviews,4.1,"Sportswear store, Clothing store, Shoe store",Manhattan,+1 212-727-2520,
"adidas Store New York, Kings Plaza","Athletic wear & shoes, Retail store featuring the brand's signature athletic footwear, clothes & accessories.","5100 Kings Plaza, Brooklyn, NY 11234, United States",go.adidas.com,316 reviews,4.3,"Sportswear store, Clothing store, Exercise equipment store, Shoe store",Mill Basin,+1 718-951-0403,
Super Runners Shop,"Footwear, apparel & gear for runners, Retailer selling name-brand running shoes, socks, tech apparel & gear for men & women.","123 Court St, Brooklyn, NY 11201, United States",superrunnersshop.com,59 reviews,4.4,"Running store, Shoe store, Sporting goods store",Brooklyn Heights,+1 718-858-8550,Moderately expensive
Stan's Sports Center Inc.,,"528 Washington St, Hoboken, NJ 07030, United States",stanssportsctr.com,20 reviews,3.9,Sporting goods store,,+1 201-798-4466,
DICK'S Sporting Goods,"Supplier of sports & recreation gear, Sporting goods chain with equipment, apparel & footwear for athletics, outdoor recreation & fitness.","45 Fitzgerald Street, Yonkers, NY 10710, United States",stores.dickssportinggoods.com,425 reviews,4.1,"Sporting goods store, Baseball goods store, Bicycle store, Clothing store, Exercise equipment store, Golf shop, Hunting and fishing store, Outdoor clothing and equipment shop, Outdoor sports store, Shoe store",Northeast Yonkers,+1 914-964-0580,
Zumiez,"Clothes & gear for skate- & snowboarding, Chain retailer offering trendy, brand-name clothing & shoes, plus gear for skate- & snowboarders.","15 W 34th St., New York, NY 10001, United States",zumiez.com,390 reviews,4.5,"Clothing store, Men's clothing store, Shoe store, Skateboard shop, Snowboard shop, Sunglasses store, Watch store, Women's clothing store",Manhattan,+1 212-967-4325,Moderately expensive
Foot Locker,"Brand-name athletic shoes & apparel, Retail chain with brand-name athletic shoes, clothing & related accessories for men, women & kids.","11 W 34th St., New York, NY 10001, United States",stores.footlocker.com,465 reviews,4.2,"Shoe store, Clothing store, Sportswear store",Manhattan,+1 212-971-9449,Moderately expensive
lululemon experiential store,"Upscale yoga & running apparel, High-end yoga-focused chain featuring stylish athletic wear & accessories.","520 Broadway, New York, NY 10012, United States",shop.lululemon.com,92 reviews,4,"Sportswear store, Cafe, Children's clothing store, Event venue, Men's clothing store, Women's clothing store",Manhattan,+1 212-777-4248,Expensive
Foot Locker,"Brand-name athletic shoes & apparel, Retail chain with brand-name athletic shoes, clothing & related accessories for men, women & kids.","22 E 14th St, New York, NY 10003, United States",stores.footlocker.com,159 reviews,4.1,"Shoe store, Clothing store, Sportswear store",Manhattan,+1 212-243-5641,Moderately expensive
Foot Locker,"Brand-name athletic shoes & apparel, Retail chain with brand-name athletic shoes, clothing & related accessories for men, women & kids.","1460 Broadway, New York, NY 10036, United States",stores.footlocker.com,"2,178 reviews",4.3,"Shoe store, Clothing store, Sportswear store",Manhattan,+1 212-461-5818,Moderately expensive
"Gerry Cosby & Co., Inc.","Venerable stop for jerseys & equipment, Institution for Knicks & Rangers apparel, plus sports equipment, with a focus on hockey & football.","11 Pennsylvania Plaza, New York, NY 10001, United States",cosbysports.com,24 reviews,4.6,"Sporting goods store, Sports memorabilia store",Manhattan,+1 877-563-6464,Expensive
Burton New York City Flagship Store,"Snowboard brand, with apparel & gear, Hip chain for snowboards, boots, apparel & outerwear for men, women & kids.","69 Greene St, New York, NY 10012, United States",burton.com,327 reviews,4.3,"Snowboard shop, Clothing store, Outerwear store",Manhattan,+1 212-966-8070,Expensive
"HOKA Store Flat Iron, NYC",,"115 5th Ave, New York, NY 10003, United States",hoka.com,102 reviews,3.8,"Shoe store, Clothing store, Fitness center, Outdoor sports store, Running store",Manhattan,+1 347-983-5020,
Foot Locker,"Brand-name athletic shoes & apparel, Retail chain with brand-name athletic shoes, clothing & related accessories for men, women & kids.","440 Broadway, New York, NY 10013, United States",stores.footlocker.com,252 reviews,4,"Shoe store, Clothing store, Sportswear store",Manhattan,+1 212-343-7461,Moderately expensive
"adidas Store New York, Queens Center","Athletic wear & shoes, Retail store featuring the brand's signature athletic footwear, clothes & accessories.","90-15 Queens Blvd, Queens, NY 11373, United States",go.adidas.com,397 reviews,4.3,"Sportswear store, Clothing store, Exercise equipment store, Shoe store",Elmhurst,+1 718-393-9620,
DICK'S Sporting Goods,"Supplier of sports & recreation gear, Sporting goods chain with equipment, apparel & footwear for athletics, outdoor recreation & fitness.","630 Old Country Rd, Garden City, NY 11530, United States",stores.dickssportinggoods.com,"1,021 reviews",3.9,"Sporting goods store, Baseball goods store, Bicycle store, Clothing store, Exercise equipment store, Golf shop, Hunting and fishing store, Outdoor clothing and equipment shop, Outdoor sports store, Shoe store",,+1 516-247-6400,
Athleta,"Stylish sportswear & gear for women, Chain retailer for trendy sportswear & accessories for women, offering gear, swimsuits & more.","126 5th Ave, New York, NY 10011, United States",athleta.gap.com,136 reviews,4.4,"Clothing store, Children's clothing store, Sportswear store, Women's clothing store",Manhattan,+1 212-929-0512,Expensive
lululemon,"Upscale yoga & running apparel, High-end yoga-focused chain featuring stylish athletic wear & accessories.","10 Columbus Cir Unit 113, New York, NY 10023, United States",shop.lululemon.com,43 reviews,4.4,"Sportswear store, Children's clothing store, Men's clothing store, Women's clothing store",Manhattan,+1 332-239-6384,Expensive
adidas Outlet Store New York,"Athletic wear & shoes, Retail store featuring the brand's signature athletic footwear, clothes & accessories.","40-24 College Point Blvd, Queens, NY 11354, United States",go.adidas.com,545 reviews,4.3,"Sportswear store, Clothing store, Exercise equipment store, Shoe store",Flushing,+1 718-321-0657,
Foot Locker,"Brand-name athletic shoes & apparel, Retail chain with brand-name athletic shoes, clothing & related accessories for men, women & kids.","58 W 14th St, New York, NY 10011, United States",stores.footlocker.com,141 reviews,3.9,"Shoe store, Clothing store, Sportswear store",Manhattan,+1 212-255-6481,Moderately expensive
New Star Martial Arts Supply,"Bi-level retailer of martial arts gear, 2-story emporium carrying training supplies & books for kung fu, karate, MMA & other martial arts.","823 6th Ave #2, New York, NY 10001, United States",,83 reviews,4.4,Martial arts supply store,Manhattan,+1 212-643-8216,
Mr Sports,,"1428 Nostrand Ave., Brooklyn, NY 11226, United States",,32 reviews,3.9,Shoe store,Little Caribbean,+1 718-287-4340,
Grand Slam New York,"Store with NYC souvenirs & Yankees gear, Veteran, family-run store offering a large selection of NYC souvenirs & Yankees merchandise.","1557 Broadway, New York, NY 10036, United States",grandslamnewyork.com,573 reviews,4.3,"Sporting goods store, Gift shop, Souvenir store, T-shirt store, Toy store",Manhattan,+1 888-395-0515,
D F Brothers Sports Center,,"7919 New Utrecht Ave, Brooklyn, NY 11214, United States",dfbrothersportcenter.com,192 reviews,4.4,Gun shop,Bensonhurst,,
"adidas Store Brooklyn, Fulton Street","Athletic wear & shoes, Retail store featuring the brand's signature athletic footwear, clothes & accessories.","454 Fulton St, Brooklyn, NY 11201, United States",go.adidas.com,366 reviews,4.2,"Sportswear store, Clothing store, Exercise equipment store, Shoe store",Downtown Brooklyn,+1 718-243-2413,
Sports Imprints,,"350 5th Ave, New York, NY 10118, United States",,,,"Sporting goods store, Entertainment and recreation",Manhattan,+1 212-563-7075,
Supreme,"Skate culture boutique, Skateboards & related gear, sneakers & house-brand streetwear make this SoHo shop a skater mecca.","190 Bowery, New York, NY 10012, United States",supremenewyork.com,"2,264 reviews",3.7,"Skate shop, Clothing store",Manhattan,+1 212-966-7799,Expensive
Gamma,,"New York, NY 10013, United States",gamma.goo.usa.com,1 review,4,Sportswear store,Manhattan,,
Y-3 SoHo Store New York,"Upscale sportswear & streetwear store, Trendy boutique carrying men's & women's styles & footwear by Japanese designer Yohji Yamamoto.","92 Greene St, New York, NY 10012, United States",go.adidas.com,105 reviews,4.4,"Sportswear store, Clothing store, Shoe store",Manhattan,+1 212-226-2412,Expensive
Champion,,"434 Broadway, New York, NY 10013, United States",stores.champion.com,168 reviews,4.1,"Sportswear store, Men's clothing store, Women's clothing store",Manhattan,+1 212-226-2740,
Fjällräven Epic NYC,"Swedish outdoor gear & apparel store, World flagship location of an innovative Swedish outdoor equipment & apparel company.","38 Greene St, New York, NY 10012, United States",fjallraven.us,301 reviews,4.5,"Outdoor sports store, Clothing store, Sportswear store",Manhattan,+1 646-682-9253,
Singh's Sporting Goods,"Resource for cricket bats & supplies, Modest sporting goods store specializing in cricket bats, balls, apparel & accessories.","100-06 101st Ave, Jamaica, NY 11416, United States",singhsport.com,47 reviews,4.2,Sporting goods store,Jamaica,+1 718-925-9058,
Champs Sports,"Source for athletic footwear & apparel, Chain featuring a wide range of brand-name athletic footwear, clothing, hats & more.","1119 Green Acres Mall, Valley Stream, NY 11581, United States",stores.champssports.com,159 reviews,4,"Shoe store, Clothing store, Sportswear store",,+1 516-823-0677,Moderately expensive
Athalon Sportgear Inc,,"10 W 33rd St #1012, New York, NY 10001, United States",athalonsportgear.com,2 reviews,3,Sportswear store,Manhattan,+1 212-268-8070,
Universal Sports Group,,"22-14 40th Ave, Long Island City, NY 11101, United States",,,,Sportswear store,Long Island City,+1 917-775-5393,
Nike Soho,"Mainstay for athletic apparel & footwear, Chain retailer selling a range of Nike athletic footwear, apparel & accessories.","529 Broadway, New York, NY 10012, United States",nike.com,"3,848 reviews",4.3,"Sportswear store, Children's clothing store, Clothing store, Men's clothing store, Shoe store, Women's clothing store",Manhattan,+1 646-716-3740,
Solow Sports @ NTC (NTC Pro Shop),"Tennis gear & clothing for all ages, Pro shop offering tennis racquets & stringing service, plus gear & clothing for all ages.","126 Meridian Rd, Queens, NY 11368, United States",solowsports.com,62 reviews,4.8,Tennis store,Flushing,+1 718-760-6227,
Arc'teryx Bleecker - Arc'type Store,,"367 - 369 Bleecker St, New York, NY 10014, United States",stores.arcteryx.com,7 reviews,4.6,"Outdoor sports store, Outdoor clothing and equipment shop",Manhattan,+1 646-368-1171,
Nike by Flatiron,"Mainstay for athletic apparel & footwear, Chain retailer selling a range of Nike athletic footwear, apparel & accessories.","156 5th Ave, New York, NY 10010, United States",nike.com,960 reviews,4.1,"Sportswear store, Children's clothing store, Clothing store, Men's clothing store, Running store, Shoe store, Women's clothing store",Manhattan,+1 212-243-8560,Expensive
adidas Brand Center New York,"Athletic wear & shoes, Retail store featuring the brand's signature athletic footwear, clothes & accessories.","610 Broadway, New York, NY 10012, United States",go.adidas.com,"1,548 reviews",4.2,"Sportswear store, Clothing store, Exercise equipment store, Shoe store",Manhattan,+1 212-529-0081,Moderately expensive
MLB Flagship Store,,"1271 6th Ave, New York, NY 10020, United States",mlb.com,218 reviews,4.5,"Sportswear store, Store",Manhattan,+1 332-228-1040,
Alex Sports Embroidery & Printing,,"1306 St Nicholas Ave, New York, NY 10033, United States",,34 reviews,4.7,Clothing store,Manhattan,+1 212-928-1764,
Wilson,,"530 7th Ave #707, New York, NY 10018, United States",wilson.com,1 review,1,"Clothes and fabric manufacturer, Sportswear store",Manhattan,,
Fleet Feet - JackRabbit - 3rd Ave,,"1051 3rd Ave, New York, NY 10065, United States",fleetfeetnyc.com,210 reviews,4.3,"Running store, Clothing store, Men's clothing store, Shoe store, Sportswear store, Women's clothing store",Manhattan,+1 212-223-8109,Expensive
Originals Flagship Store New York,"Athletic wear & shoes, Retail store featuring the brand's signature athletic footwear, clothes & accessories.","115 Spring St, New York, NY 10012, United States",go.adidas.com,988 reviews,4.1,"Sportswear store, Clothing store, Exercise equipment store, Shoe store",Manhattan,+1 212-966-0954,Expensive
Euromex Soccer,"Compact shop with soccer gear galore, Narrow storefront offering a wide range of soccer apparel, cleats, balls & licensed team gear.","246 E 116th St, New York, NY 10029, United States",euromexsports.com,79 reviews,4.5,"Sporting goods store, Soccer store",Manhattan,+1 646-398-8074,
Mountain Sports,,"9 S 4th Ave, Mt Vernon, NY 10550, United States",,4 reviews,3.3,Sportswear store,South Side,+1 914-667-3112,
Paragon Sports,"Longstanding sports specialty store, Sports stalwart selling equipment & clothing for athletic activities ranging from baseball to yoga.","867 Broadway, New York, NY 10003, United States",paragonsports.com,"1,574 reviews",4.1,"Sporting goods store, Baseball goods store, Bicycle store, Camping store, Outdoor sports store, Outerwear store, Running store, Ski rental service, Ski repair service, Tennis store",Manhattan,+1 800-961-3030,Moderately expensive
Champs Sports,"Source for athletic footwear & apparel, Chain featuring a wide range of brand-name athletic footwear, clothing, hats & more.","10 Times Sq, New York, NY 10036, United States",stores.champssports.com,"1,219 reviews",4.1,"Shoe store, Clothing store, Sportswear store",Manhattan,+1 212-354-2009,Moderately expensive
JD Sports,"Retailer of trainers & casual sportswear, Retail chain specializing in designer branded training shoes, casual sportswear and accessories.","1466 Broadway, New York, NY 10036, United States",jdsports.com,377 reviews,4,"Sportswear store, Children's clothing store, Clothing store, Fashion accessories store, Men's clothing store, Shoe store, Women's clothing store",Manhattan,+1 332-219-8100,
Wilson Flagship Store,,"594 Broadway, New York, NY 10012, United States",wilson.com,23 reviews,4.4,"Sportswear store, Sporting goods store",Manhattan,+1 646-719-1312,
DICK'S Sporting Goods,"Supplier of sports & recreation gear, Sporting goods chain with equipment, apparel & footwear for athletics, outdoor recreation & fitness.","73-25 Woodhaven Blvd, Queens, NY 11385, United States",stores.dickssportinggoods.com,"1,239 reviews",4.1,"Sporting goods store, Baseball goods store, Bicycle store, Clothing store, Exercise equipment store, Golf shop, Hunting and fishing store, Outdoor clothing and equipment shop, Outdoor sports store, Shoe store",Glendale,+1 347-396-9636,
Frank's Sports Shop,"Roomy hub for sports & outdoor gear, Large sporting goods shop stocking athletic wear & equipment, plus outdoor & military gear.","430 E Tremont Ave, The Bronx, NY 10457, United States",frankssports.com,680 reviews,4.3,"Sporting goods store, Outdoor sports store, Work clothes store",West Bronx,+1 718-299-9628,
REI,"Gear & apparel for outdoor recreation, Retail chain carrying gear, apparel & footwear for a wide range of outdoor & fitness activities.","303 Lafayette St, New York, NY 10012, United States",rei.com,"1,419 reviews",4.5,"Camping store, Bicycle repair shop, Bicycle store, Canoe & kayak store, Children's clothing store, Clothing store, Outdoor activity organiser, Outdoor sports store, Shoe store, Ski shop",Manhattan,+1 212-680-1938,
NYC Racquet Sports,"Racquets, apparel & stringing services, Racquet sports store featuring kids' & adults' clothing, shoes & equipment, plus stringing services.","157A W 35th St, New York, NY 10001, United States",nycracquetsports.com,212 reviews,4.5,Tennis store,Manhattan,+1 212-695-5353,
Champs Sports,"Source for athletic footwear & apparel, Chain featuring a wide range of brand-name athletic footwear, clothing, hats & more.","208 W 125th St #208, New York, NY 10027, United States",stores.champssports.com,269 reviews,4.2,"Shoe store, Clothing store, Sportswear store",Manhattan,+1 212-280-0296,Moderately expensive
Super Runners Shop,"Footwear, apparel & gear for runners, Retailer selling name-brand running shoes, socks, tech apparel & gear for men & women.","395 Amsterdam Ave, New York, NY 10024, United States",superrunnersshop.com,78 reviews,4.7,"Sporting goods store, Running store, Shoe store",Manhattan,+1 212-787-7665,Moderately expensive
Legends Sporting Goods,,"8224 5th Ave, Brooklyn, NY 11209, United States",gothamoutfitters.com,49 reviews,4.7,Sporting goods store,Bay Ridge,+1 718-680-8957,
DICK'S Sporting Goods,"Supplier of sports & recreation gear, Sporting goods chain with equipment, apparel & footwear for athletics, outdoor recreation & fitness.","2505 Richmond Ave, Staten Island, NY 10314, United States",stores.dickssportinggoods.com,534 reviews,3.9,"Sporting goods store, Baseball goods store, Bicycle store, Clothing store, Exercise equipment store, Golf shop, Hunting and fishing store, Outdoor clothing and equipment shop, Outdoor sports store, Shoe store",Mid Island,+1 718-982-7260,
BW Sportswear,,"19 W 26th St, New York, NY 10010, United States",,8 reviews,4.8,Sportswear store,Manhattan,+1 212-683-3700,
DICK'S Sporting Goods,"Supplier of sports & recreation gear, Sporting goods chain with equipment, apparel & footwear for athletics, outdoor recreation & fitness.","7 Green Acres Rd W, Valley Stream, NY 11582, United States",stores.dickssportinggoods.com,677 reviews,4.2,"Sporting goods store, Baseball goods store, Bicycle store, Clothing store, Exercise equipment store, Golf shop, Hunting and fishing store, Outdoor clothing and equipment shop, Outdoor sports store, Shoe store",Rosedale,+1 516-256-8722,
Wilson,,"1517 3rd Ave Space 101B, New York, NY 10028, United States",wilson.com,4 reviews,5,Sporting goods store,Manhattan,+1 646-490-4897,
Keiko sports Retail NYC,,"47-10 32nd Pl, Queens, NY 11101, United States",keikousa.com,6 reviews,5,Sportswear store,Long Island City,+1 929-307-6522,
Champs Sports,"Source for athletic footwear & apparel, Chain featuring a wide range of brand-name athletic footwear, clothing, hats & more.","480-482 Fulton St, Brooklyn, NY 11201, United States",stores.champssports.com,151 reviews,4.1,"Shoe store, Clothing store, Sportswear store",Downtown Brooklyn,+1 718-852-4808,Moderately expensive
"Gerry Cosby & Co., Inc.","Venerable stop for jerseys & equipment, Institution for Knicks & Rangers apparel, plus sports equipment, with a focus on hockey & football.","11 Pennsylvania Plaza, New York, NY 10001, United States",cosbysports.com,24 reviews,4.6,"Sporting goods store, Sports memorabilia store",Manhattan,+1 877-563-6464,Expensive
Sports Imprints,,"350 5th Ave, New York, NY 10118, United States",,,,"Sporting goods store, Entertainment and recreation",Manhattan,+1 212-563-7075,
Broadband Sports,,"350 5th Ave, New York, NY 10118, United States",,,,"Sporting goods store, Entertainment and recreation",Manhattan,+1 212-279-2211,
Leonardos Sport Shop,,"6011 5th Ave, Brooklyn, NY 11220, United States",,37 reviews,3.9,"Sporting goods store, Soccer, Soccer store",Sunset Park,+1 718-492-8482,
Yankees Clubhouse,"Official seller of Yankees baseball gear, Official vendor of apparel, souvenirs & baseball-related collectibles from the New York Yankees.","245 W 42nd St SP1, New York, NY 10036, United States",lids.com,338 reviews,4.4,"Sporting goods store, Embroidery service",Manhattan,+1 212-768-9779,Expensive
BQ Sports Inc,"Sporting goods store with team uniforms, Store offering equipment, accessories & apparel for sports, swimming & fitness, plus team uniforms.","601 Manhattan Ave, Brooklyn, NY 11222, United States",bqsports.com,112 reviews,4.5,"Sporting goods store, Custom t-shirt store, Embroidery service, Embroidery shop, Screen printer, Uniform store",Williamsburg,+1 718-349-3528,
Iman Sports Wear,,"3377 Broadway, New York, NY 10031, United States",,19 reviews,4.3,Sportswear store,Manhattan,+1 212-694-3864,
NHL Shop New York City,"Brand-name athletic shoes & activewear, Retail chain supplying athletic shoes, apparel & accessories for men, women & children.","385 9th Ave STE 55, New York, NY 10001, United States",shop.nhl.com,"1,202 reviews",4.3,Sports memorabilia store,Manhattan,+1 646-876-4835,
Champs Sports,"Source for athletic footwear & apparel, Chain featuring a wide range of brand-name athletic footwear, clothing, hats & more.","9015 Queens Blvd, Queens, NY 11373, United States",stores.champssports.com,201 reviews,3.8,"Shoe store, Clothing store, Sportswear store",Elmhurst,+1 718-760-0095,Moderately expensive
